aggregate_only_decryption_enforced,client_ids,destination,dp_budget_ok,dp_event_observed,formal_dp_status,he_crypto_observed,he_execution,key_isolation_enforced,mechanism,mode,noise_location,object,packet_index,packet_protection_status,released_model_dp_status,round,source,source_domain
False,53,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,50,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,3
False,54,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,51,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,4
False,55,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,52,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,5
False,57,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,53,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,7
False,58,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,54,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,8
False,59,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,55,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,9
False,60,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,56,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,0
False,61,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,57,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,1
False,62,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,58,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,2
False,65,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,59,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,5
False,66,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,60,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,6
False,67,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,61,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,7
False,68,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,62,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,8
False,69,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,63,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,9
False,71,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,64,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,1
False,72,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,65,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,2
False,73,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,66,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,3
False,74,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,67,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,4
False,76,cloud,True,False,not_established,False,not_selected,False,none,LIC,none,model_update,68,unprotected_update,no_valid_dp_calibration_for_contribution,1,end,6
