actual_local_batches,actual_optimizer_steps,client_id,communication_volume,deadline_satisfied,edge_id,epsilon_used,fast_response_client,fast_response_deadline,feasible,feasible_memory,feasible_privacy,feasible_resource,feasible_risk,feasible_time,feature_dp_events,feature_epsilon,global_release_required,has_feasible_candidate,local_training_epochs,mechanisms,memory_capacity,memory_requirement,mode,omega_feature_clip_excess_sq,policy,pre_aggregation_time,projected_feature_epsilon,projected_update_epsilon,remaining_epsilon,risk,round,time,update_dp_events,update_epsilon,update_mechanism,update_protection_goal
3,3,18,89.453136,,8,8.000000000001,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_E_upd:dp,1.5926943326530782,0.948,LIIE,,full_dynfl,10.704443681615832,0.0,0.35023258995856005,0.0,0.24359999999999998,0,22.303004505222347,1,8.000000000001,dp,packet_protection
3,3,19,60.926568,,9,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.676393350591775,0.5372,LIC,,full_dynfl,8.005702634403415,0.0,0.0,8.0,0.0,0,26.25390952678466,0,0.0,none,packet_protection
3,3,20,60.926568,,0,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,0.750197009233797,0.5372,LIC,,full_dynfl,8.68348769869614,0.0,0.0,8.0,0.0,0,28.417508825613744,0,0.0,none,packet_protection
3,3,21,89.453136,,1,0.0,False,,True,True,True,True,False,True,0,0.0,0,True,3,L_E_upd:none,1.0533693839806015,0.948,LIIE,,full_dynfl,8.655421784243643,0.0,0.0,8.0,0.58,0,16.500906964079686,0,0.0,none,packet_protection
3,3,22,60.926568,,2,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.162089858147671,0.5372,LIC,,full_dynfl,7.796194801209186,0.0,0.0,8.0,0.0,0,25.294996067647045,0,0.0,none,packet_protection
3,3,23,60.926568,,3,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.5216668391258723,0.5372,LIC,,full_dynfl,8.251933070189464,0.0,0.0,8.0,0.0,0,26.162261927037413,0,0.0,none,packet_protection
3,3,24,60.926568,,4,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.509690730837996,0.5372,LIC,,full_dynfl,8.747229605861694,0.0,0.0,8.0,0.0,0,29.62015192375318,0,0.0,none,packet_protection
3,3,25,60.926568,,5,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.141894505673916,0.5372,LIC,,full_dynfl,9.65563807239866,0.0,0.0,8.0,0.0,0,33.547888911255484,0,0.0,none,packet_protection
3,3,26,89.453136,,6,8.000000000001,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_E_upd:dp,2.6156949390605306,0.948,LIIE,,full_dynfl,9.416240705721137,0.0,0.35023258995856005,0.0,0.24359999999999998,0,18.61431130501746,1,8.000000000001,dp,packet_protection
3,3,27,60.926568,,7,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.3581486205054942,0.5372,LIC,,full_dynfl,8.71678601716303,0.0,0.0,8.0,0.0,0,28.283537020035418,0,0.0,none,packet_protection
3,3,28,60.926568,,8,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.0529798758229736,0.5372,LIC,,full_dynfl,7.7677711984389815,0.0,0.0,8.0,0.0,0,25.757909763446705,0,0.0,none,packet_protection
3,3,29,60.926568,,9,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.5238328230436504,0.5372,LIC,,full_dynfl,9.033057633513113,0.0,0.0,8.0,0.0,0,28.750490273249177,0,0.0,none,packet_protection
3,3,30,60.926568,,0,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.304595337452328,0.5372,LIC,,full_dynfl,7.703502638423737,0.0,0.0,8.0,0.0,0,25.56894945081516,0,0.0,none,packet_protection
3,3,31,60.926568,,1,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.2969552434688674,0.5372,LIC,,full_dynfl,9.797750164931552,0.0,0.0,8.0,0.0,0,31.21983842768705,0,0.0,none,packet_protection
3,3,32,60.926568,,2,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_E_emb:none;L_E_grad:none,0.759725880596146,0.5688,LIE,,full_dynfl,4.911176882303685,0.0,0.0,8.0,0.0,0,12.735727948693775,0,0.0,none,packet_protection
3,3,33,60.926568,,3,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_E_emb:none;L_E_grad:none,1.0040228730641931,0.5688,LIE,,full_dynfl,5.18719704010208,0.0,0.0,8.0,0.0,0,17.014904423686097,0,0.0,none,packet_protection
3,3,34,60.926568,,4,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.4720682121450308,0.5372,LIC,,full_dynfl,7.640581876581631,0.0,0.0,8.0,0.0,0,25.974981666479554,0,0.0,none,packet_protection
3,3,35,60.926568,,5,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.1366723680721345,0.5372,LIC,,full_dynfl,8.10695861777388,0.0,0.0,8.0,0.0,0,29.17688900134049,0,0.0,none,packet_protection
3,3,36,60.926568,,6,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.9282823167918586,0.5372,LIC,,full_dynfl,9.327127905297486,0.0,0.0,8.0,0.0,0,36.37190504335087,0,0.0,none,packet_protection
3,3,37,60.926568,,7,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.192260315036407,0.5372,LIC,,full_dynfl,7.844827422547734,0.0,0.0,8.0,0.0,0,26.72074957509605,0,0.0,none,packet_protection
3,3,38,60.926568,,8,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.5502852751622296,0.5372,LIC,,full_dynfl,9.93648222238097,0.0,0.0,8.0,0.0,0,35.87639523339712,0,0.0,none,packet_protection
3,3,39,60.926568,,9,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.2461187749535723,0.5372,LIC,,full_dynfl,8.20706556849683,0.0,0.0,8.0,0.0,0,29.20192957746047,0,0.0,none,packet_protection
3,3,40,60.926568,,0,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.718281661052106,0.5372,LIC,,full_dynfl,9.28784748491755,0.0,0.0,8.0,0.0,0,29.087864300879218,0,0.0,none,packet_protection
3,3,41,60.926568,,1,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.2035142721899799,0.5372,LIC,,full_dynfl,8.990509127257933,0.0,0.0,8.0,0.0,0,27.870514994094428,0,0.0,none,packet_protection
3,3,42,60.926568,,2,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.0518635048612208,0.5372,LIC,,full_dynfl,8.417092022518931,0.0,0.0,8.0,0.0,0,28.069582036083226,0,0.0,none,packet_protection
3,3,43,60.926568,,3,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.157731341345857,0.5372,LIC,,full_dynfl,7.852303237022822,0.0,0.0,8.0,0.0,0,27.616824675665534,0,0.0,none,packet_protection
3,3,44,60.926568,,4,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_E_emb:none;L_E_grad:none,1.8939537747589035,0.5688,LIE,,full_dynfl,3.956869088579322,0.0,0.0,8.0,0.0,0,11.889820628501933,0,0.0,none,packet_protection
3,3,45,60.926568,,5,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.1894368395630277,0.5372,LIC,,full_dynfl,8.044846290011119,0.0,0.0,8.0,0.0,0,27.8630506258711,0,0.0,none,packet_protection
3,3,46,60.926568,,6,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,0.8664658783201349,0.5372,LIC,,full_dynfl,8.049946796000668,0.0,0.0,8.0,0.0,0,29.730146415914792,0,0.0,none,packet_protection
3,3,47,60.926568,,7,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.2106043506675663,0.5372,LIC,,full_dynfl,9.018219534121789,0.0,0.0,8.0,0.0,0,33.8456551512092,0,0.0,none,packet_protection
3,3,48,60.926568,,8,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.8872330715439818,0.5372,LIC,,full_dynfl,9.370334363857111,0.0,0.0,8.0,0.0,0,32.579835998588266,0,0.0,none,packet_protection
3,3,49,60.926568,,9,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.6414699298711724,0.5372,LIC,,full_dynfl,7.6598816831928245,0.0,0.0,8.0,0.0,0,26.28158170730974,0,0.0,none,packet_protection
3,3,50,60.926568,,0,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.357294402957413,0.5372,LIC,,full_dynfl,7.91926576398014,0.0,0.0,8.0,0.0,0,27.269033700911127,0,0.0,none,packet_protection
3,3,51,60.926568,,1,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.5496570969226762,0.5372,LIC,,full_dynfl,8.836019987334568,0.0,0.0,8.0,0.0,0,26.811648081725053,0,0.0,none,packet_protection
3,3,52,60.926568,,2,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,0.9663577124967927,0.5372,LIC,,full_dynfl,8.290219315891775,0.0,0.0,8.0,0.0,0,25.38608419682471,0,0.0,none,packet_protection
3,3,53,60.926568,,3,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.770461903305378,0.5372,LIC,,full_dynfl,8.673713597901202,0.0,0.0,8.0,0.0,0,27.72105523529367,0,0.0,none,packet_protection
3,3,54,60.926568,,4,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,0.6943280485130395,0.5372,LIC,,full_dynfl,8.468146437501051,0.0,0.0,8.0,0.0,0,29.247102029960917,0,0.0,none,packet_protection
3,3,55,60.926568,,5,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.4836273737631887,0.5372,LIC,,full_dynfl,9.305789441641677,0.0,0.0,8.0,0.0,0,26.828761665776014,0,0.0,none,packet_protection
3,3,56,60.926568,,6,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.8118084234022185,0.5372,LIC,,full_dynfl,8.90890479317608,0.0,0.0,8.0,0.0,0,27.76732411284293,0,0.0,none,packet_protection
3,3,57,60.926568,,7,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.3077190009814617,0.5372,LIC,,full_dynfl,9.211283725793876,0.0,0.0,8.0,0.0,0,36.173845395773654,0,0.0,none,packet_protection
3,3,58,60.926568,,8,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.8813699941523465,0.5372,LIC,,full_dynfl,7.58872353423665,0.0,0.0,8.0,0.0,0,26.2441456676602,0,0.0,none,packet_protection
3,3,59,60.926568,,9,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.0079643620644898,0.5372,LIC,,full_dynfl,10.348290852755213,0.0,0.0,8.0,0.0,0,34.064306442473494,0,0.0,none,packet_protection
3,3,60,60.926568,,0,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,0.915367883433331,0.5372,LIC,,full_dynfl,9.912593608826759,0.0,0.0,8.0,0.0,0,33.55868702127127,0,0.0,none,packet_protection
3,3,61,60.926568,,1,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.663020517394065,0.5372,LIC,,full_dynfl,9.205712999143342,0.0,0.0,8.0,0.0,0,31.51602672068703,0,0.0,none,packet_protection
3,3,62,60.926568,,2,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.2711442061474538,0.5372,LIC,,full_dynfl,9.565954704550583,0.0,0.0,8.0,0.0,0,31.499897022668804,0,0.0,none,packet_protection
3,3,63,89.453136,,3,8.000000000001,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_E_upd:dp,1.4309148880902602,0.948,LIIE,,full_dynfl,11.409698575528195,0.0,0.35023258995856005,0.0,0.24359999999999998,0,22.080508997050178,1,8.000000000001,dp,packet_protection
3,3,64,89.453136,,4,8.000000000001,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_E_upd:dp,1.8405891045455842,0.948,LIIE,,full_dynfl,9.844410405091685,0.0,0.35023258995856005,0.0,0.24359999999999998,0,18.69640292899684,1,8.000000000001,dp,packet_protection
3,3,65,60.926568,,5,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,0.8367898073613169,0.5372,LIC,,full_dynfl,9.858656269971796,0.0,0.0,8.0,0.0,0,33.998764563111266,0,0.0,none,packet_protection
3,3,66,60.926568,,6,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.8093775561702643,0.5372,LIC,,full_dynfl,8.380127211505197,0.0,0.0,8.0,0.0,0,27.42853027252026,0,0.0,none,packet_protection
3,3,67,60.926568,,7,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_E_emb:none;L_E_grad:none,1.7349815617663098,0.5688,LIE,,full_dynfl,4.037639515503641,0.0,0.0,8.0,0.0,0,12.105682969384969,0,0.0,none,packet_protection
3,3,68,60.926568,,8,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.6746949941761489,0.5372,LIC,,full_dynfl,7.958037535060304,0.0,0.0,8.0,0.0,0,26.003775631214904,0,0.0,none,packet_protection
3,3,69,60.926568,,9,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_E_emb:none;L_E_grad:none,0.9742087513577001,0.5688,LIE,,full_dynfl,4.501012478127471,0.0,0.0,8.0,0.0,0,13.07701919700019,0,0.0,none,packet_protection
3,3,70,60.926568,,0,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_E_emb:none;L_E_grad:none,2.208645096509279,0.5688,LIE,,full_dynfl,5.130047124435974,0.0,0.0,8.0,0.0,0,13.222884155313729,0,0.0,none,packet_protection
3,3,71,60.926568,,1,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.826628304645198,0.5372,LIC,,full_dynfl,9.72106933698248,0.0,0.0,8.0,0.0,0,34.426085856884384,0,0.0,none,packet_protection
3,3,72,60.926568,,2,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,0.699842775864906,0.5372,LIC,,full_dynfl,8.668478407233726,0.0,0.0,8.0,0.0,0,33.11481599192112,0,0.0,none,packet_protection
3,3,73,60.926568,,3,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,1.949324494891817,0.5372,LIC,,full_dynfl,9.182200879706652,0.0,0.0,8.0,0.0,0,26.50326194841292,0,0.0,none,packet_protection
3,3,74,60.926568,,4,0.0,False,,True,True,True,True,True,True,0,0.0,0,True,3,L_C_emb:none;L_C_grad:none,2.373369464974584,0.5372,LIC,,full_dynfl,9.455988573015427,0.0,0.0,8.0,0.0,0,36.266227063266314,0,0.0,none,packet_protection
