accounted_system_time_sec,aggregate_dp_protocol,aggregate_dp_release_rounds,all_constraint_feasible_rate,all_cross_domain_updates_protected,avg_last_10_accuracy,avg_last_5_accuracy,best_test_accuracy,dataset,deadline_satisfaction_ratio,deterministic_torch,dp_accounting_mode,dp_delta,dp_feature_enabled,dp_feature_epsilon_target,dp_feature_horizon_events,dp_feature_noise_multiplier,dp_update_epsilon_target,dp_update_horizon_events,dp_update_noise_multiplier,end_to_end_wall_time_sec,equal_optimizer_work_control,execution_revision,feasible_participation_ratio,feasible_rate,final_test_accuracy,final_train_accuracy,global_pareto_selection_rounds,global_release_count,global_release_epsilon,global_release_noise_multiplier,global_release_noise_std,global_release_sensitivity,global_release_target_epsilon,he_addition_time_sec,he_aggregation_calls,he_available,he_backend,he_ciphertext_bytes,he_ciphertext_bytes_semantics,he_ciphertext_count,he_coeff_mod_bit_sizes,he_complete_update_encryption,he_decryption_time_sec,he_encrypted_parameter_values,he_encrypted_updates,he_encryption_time_sec,he_execution,he_failures,he_key_setup_time_sec,he_mapped_update_bytes,he_max_abs_error,he_measured_expansion_ratio,he_poly_modulus_degree,he_process_chunks_per_task,he_process_fallbacks,he_process_tasks,he_process_workers,he_profiled_only,he_scale_bits,he_shared_memory_bytes,he_status,he_wall_time_sec,he_worker_cpu_time_sec,larger_channel_epsilon,local_packet_dp_releases,mainline_fusion,max_aggregate_dp_noise_std,max_feature_epsilon,max_privacy_risk,max_update_epsilon,mean_effective_clients,mean_effective_edges,mean_global_update_clients,mean_round_wall_time_sec,mean_selection_wall_time_sec,mean_training_wall_time_sec,mean_update_dp_coverage,mean_update_dp_he_clients,mean_update_dp_only_clients,mean_update_he_coverage,mean_update_he_only_clients,memory_feasible_rate,min_remaining_epsilon,mode_distribution,model,object_mechanism_distribution,output_dir,per_client_test,per_client_test_accuracy_max,per_client_test_accuracy_mean,per_client_test_accuracy_min,per_client_test_accuracy_std,policy,privacy_execution_audit,privacy_feasible_rate,privacy_guarantee,privacy_mechanism_scope,privacy_policy_scope,protected_object,real_he_aggregated_clients,real_he_available,real_he_rounds,resource_feasible_rate,risk_feasible_rate,round_to_best,rounds,skip_rate,status,target_rounds,time_satisfied_rate,timing_scope,torch_seed,total_accounted_phase_wall_time_sec,total_aggregation_wall_time_sec,total_cloud_aggregation_time,total_communication_volume,total_edge_aggregation_time,total_evaluation_wall_time_sec,total_flow_wall_time_sec,total_logical_time,total_round_wall_time_sec,total_selection_wall_time_sec,total_training_wall_time_sec,total_unattributed_wall_time_sec,total_waiting_time,tracks_returned_client_models,trusted_edge_split_execution,uniform_end_to_end_update_dp,uniform_selected_update_dp,update_mechanism_distribution,wall_time_sec
241.4380579783612,distributed_noise_before_ckks_aggregation,0,1.0,True,0.3305,0.3305,0.3305,CIFAR-10,,True,rdp_auto,1e-05,False,8.0,0,1.0,8.0,4,1.382240062317938,79.94954270124435,False,paper_flow_v31_mode_specific_privacy,1.0,1.0,0.3305,0.324,0,0,0.0,,,,,1.7820352539420128,1,True,seal,3581350500,seal_save_size_upper_bound,27300,"[50, 40]",True,1.082234712317586,111816420,10,83.49248296394944,real,0,0.04617580026388168,447265680,4.6411549896755486e-08,8.007210613611132,8192,32,0,86,4,False,40,0,SEAL CKKS encrypted-vector validation passed (max error 2.702e-09).,30.487092899158597,86.35675293020904,8.000000000001,0,False,0.0,0.0,0.58,8.000000000001,85.0,10.0,85.0,78.70979079976678,14.140342000871897,7.590546200051904,1.0,85.0,0.0,1.0,0.0,1.0,0.0,LIIEIIIC:85(0.850);SKIP:15(0.150),resnet18pretrainedhead,dp_he3:85(0.500);none:85(0.500),out\paper_v31_final\fig1_main\dirichlet_0p5\2026-09-19_22-16-05_lenet5_dynamic_newtex202608\fixed_mode_fixed_privacy,"[{'client_id': 0, 'test_accuracy': 0.375}, {'client_id': 1, 'test_accuracy': 0.5116279069767442}, {'client_id': 2, 'test_accuracy': 0.2972972972972973}, {'client_id': 3, 'test_accuracy': 0.24}, {'client_id': 4, 'test_accuracy': 0.21739130434782608}, {'client_id': 5, 'test_accuracy': 0.3076923076923077}, {'client_id': 6, 'test_accuracy': 0.3333333333333333}, {'client_id': 7, 'test_accuracy': 0.5}, {'client_id': 8, 'test_accuracy': 0.2647058823529412}, {'client_id': 9, 'test_accuracy': 0.36666666666666664}, {'client_id': 10, 'test_accuracy': 0.5555555555555556}, {'client_id': 11, 'test_accuracy': 0.4}, {'client_id': 12, 'test_accuracy': 0.2857142857142857}, {'client_id': 13, 'test_accuracy': 0.4}, {'client_id': 14, 'test_accuracy': 0.3684210526315789}, {'client_id': 15, 'test_accuracy': 0.36}, {'client_id': 16, 'test_accuracy': 0.36666666666666664}, {'client_id': 17, 'test_accuracy': 0.14285714285714285}, {'client_id': 18, 'test_accuracy': 0.3333333333333333}, {'client_id': 19, 'test_accuracy': 0.2777777777777778}, {'client_id': 20, 'test_accuracy': 0.14285714285714285}, {'client_id': 21, 'test_accuracy': 0.3170731707317073}, {'client_id': 22, 'test_accuracy': 0.46153846153846156}, {'client_id': 23, 'test_accuracy': 0.3225806451612903}, {'client_id': 24, 'test_accuracy': 0.16666666666666666}, {'client_id': 25, 'test_accuracy': 0.09523809523809523}, {'client_id': 26, 'test_accuracy': 0.3939393939393939}, {'client_id': 27, 'test_accuracy': 0.5217391304347826}, {'client_id': 28, 'test_accuracy': 0.4473684210526316}, {'client_id': 29, 'test_accuracy': 0.38461538461538464}, {'client_id': 30, 'test_accuracy': 0.6}, {'client_id': 31, 'test_accuracy': 0.3684210526315789}, {'client_id': 32, 'test_accuracy': 0.3225806451612903}, {'client_id': 33, 'test_accuracy': 0.3}, {'client_id': 34, 'test_accuracy': 0.3333333333333333}, {'client_id': 35, 'test_accuracy': 0.5}, {'client_id': 36, 'test_accuracy': 0.6176470588235294}, {'client_id': 37, 'test_accuracy': 0.32}, {'client_id': 38, 'test_accuracy': 0.5}, {'client_id': 39, 'test_accuracy': 0.3076923076923077}, {'client_id': 40, 'test_accuracy': 0.4666666666666667}, {'client_id': 41, 'test_accuracy': 0.5217391304347826}, {'client_id': 42, 'test_accuracy': 0.3541666666666667}, {'client_id': 43, 'test_accuracy': 0.3548387096774194}, {'client_id': 44, 'test_accuracy': 0.34782608695652173}, {'client_id': 45, 'test_accuracy': 0.5384615384615384}, {'client_id': 46, 'test_accuracy': 0.43478260869565216}, {'client_id': 47, 'test_accuracy': 0.3235294117647059}, {'client_id': 48, 'test_accuracy': 0.35294117647058826}, {'client_id': 49, 'test_accuracy': 0.4864864864864865}, {'client_id': 50, 'test_accuracy': 0.34782608695652173}, {'client_id': 51, 'test_accuracy': 0.28125}, {'client_id': 52, 'test_accuracy': 0.5}, {'client_id': 53, 'test_accuracy': 0.47619047619047616}, {'client_id': 54, 'test_accuracy': 0.3333333333333333}, {'client_id': 55, 'test_accuracy': 0.3076923076923077}, {'client_id': 56, 'test_accuracy': 0.2631578947368421}, {'client_id': 57, 'test_accuracy': 0.3333333333333333}, {'client_id': 58, 'test_accuracy': 0.1875}, {'client_id': 59, 'test_accuracy': 0.2222222222222222}, {'client_id': 60, 'test_accuracy': 0.2903225806451613}, {'client_id': 61, 'test_accuracy': 0.17391304347826086}, {'client_id': 62, 'test_accuracy': 0.32432432432432434}, {'client_id': 63, 'test_accuracy': 0.3684210526315789}, {'client_id': 64, 'test_accuracy': 0.16666666666666666}, {'client_id': 65, 'test_accuracy': 0.18181818181818182}, {'client_id': 66, 'test_accuracy': 0.3333333333333333}, {'client_id': 67, 'test_accuracy': 0.42857142857142855}, {'client_id': 68, 'test_accuracy': 0.2608695652173913}, {'client_id': 69, 'test_accuracy': 0.36363636363636365}, {'client_id': 70, 'test_accuracy': 0.5}, {'client_id': 71, 'test_accuracy': 0.15789473684210525}, {'client_id': 72, 'test_accuracy': 0.3404255319148936}, {'client_id': 73, 'test_accuracy': 0.2}, {'client_id': 74, 'test_accuracy': 0.2222222222222222}, {'client_id': 75, 'test_accuracy': 0.2727272727272727}, {'client_id': 76, 'test_accuracy': 0.13636363636363635}, {'client_id': 77, 'test_accuracy': 0.20833333333333334}, {'client_id': 78, 'test_accuracy': 0.5238095238095238}, {'client_id': 79, 'test_accuracy': 0.20833333333333334}, {'client_id': 80, 'test_accuracy': 0.08333333333333333}, {'client_id': 81, 'test_accuracy': 0.21428571428571427}, {'client_id': 82, 'test_accuracy': 0.3023255813953488}, {'client_id': 83, 'test_accuracy': 0.25806451612903225}, {'client_id': 84, 'test_accuracy': 0.34375}, {'client_id': 85, 'test_accuracy': 0.5714285714285714}, {'client_id': 86, 'test_accuracy': 0.0}, {'client_id': 87, 'test_accuracy': 0.3684210526315789}, {'client_id': 88, 'test_accuracy': 0.43902439024390244}, {'client_id': 89, 'test_accuracy': 0.2}, {'client_id': 90, 'test_accuracy': 0.125}, {'client_id': 91, 'test_accuracy': 0.36363636363636365}, {'client_id': 92, 'test_accuracy': 0.16666666666666666}, {'client_id': 93, 'test_accuracy': 0.375}, {'client_id': 94, 'test_accuracy': 0.3125}, {'client_id': 95, 'test_accuracy': 0.5}, {'client_id': 96, 'test_accuracy': 0.5714285714285714}, {'client_id': 97, 'test_accuracy': 0.4117647058823529}, {'client_id': 98, 'test_accuracy': 0.4}, {'client_id': 99, 'test_accuracy': 0.2962962962962963}]",0.6176470588235294,0.33726187454053863,0.0,0.12498711719591908,fixed_mode_fixed_privacy,"{'accountant_scope': 'recorded_dp_events_only', 'global_release_count': None, 'global_release_epsilon': None, 'uniform_selected_update_dp': True, 'end_to_end_dp_status': 'not_established', 'end_to_end_epsilon': None, 'he_real_execution_rounds': 1, 'he_profiled_execution_rounds': 0, 'randomness_scope': 'deterministic_experiment_seed', 'key_isolation_scope': 'single_process_simulation', 'diagnostic_scope': 'private_experiment_logs_not_public_dp_outputs'}",1.0,legacy_per_link_mechanisms,local_packet_or_secure_aggregate,per_link,cross_domain_model_update,85,True,1,1.0,0.15,0,1,0.15,completed,1,0.15,"{'end_to_end_wall_time_sec': 'policy initialization through final summary preparation', 'cumulative_wall_time_sec': 'policy initialization through each completed round', 'total_round_wall_time_sec': 'sum of measured training rounds', 'total_logical_time': 'modeled cloud-edge-end execution path', 'accounted_system_time_sec': 'modeled execution path plus measured mode selection'}",40,78.69742790237069,56.52561699971557,53.98024100799998,60980.202811199866,114.65274839999998,0.4377164002507925,0.0032063014805316925,227.2977159774893,78.70979079976678,14.140342000871897,7.590546200051904,0.012362897396087646,808.2597602557516,True,False,,True,dp_he3/none:85(0.850);none:15(0.150),79.94954270124435
234.7818028048693,distributed_noise_before_ckks_aggregation,0,1.0,False,0.185,0.185,0.185,CIFAR-10,,True,rdp_auto,1e-05,False,8.0,0,1.0,8.0,4,1.382240062317938,179.73528990149498,False,paper_flow_v31_mode_specific_privacy,1.0,1.0,0.185,0.1745,0,0,0.0,,,,,1.3315693903714418,2,True,seal,716270100,seal_save_size_upper_bound,5460,"[50, 40]",True,1.6276275999844074,22363284,2,14.542142098769546,real,0,0.047507500275969505,0,1.3505583029178136e-08,8.007210613611132,8192,0,0,0,0,False,40,0,SEAL CKKS encrypted-vector validation passed (max error 5.365e-09).,18.348514700308442,17.501339089125395,8.000000000001,0,False,0.0,0.0,0.58,8.000000000001,100.0,10.0,80.0,178.37844290025532,144.61843959987164,13.061408400535583,0.1125,0.0,0.0,0.025,0.0,1.0,0.0,LIC:80(0.800);LIE:5(0.050);LIIE:15(0.150),resnet18pretrainedhead,dp:7(0.038);dp_he3:2(0.011);none:176(0.951),out\paper_v31_final\fig1_main\dirichlet_0p5\2026-09-19_22-16-05_lenet5_dynamic_newtex202608\dynamic_mode_fixed_privacy,"[{'client_id': 0, 'test_accuracy': 0.25}, {'client_id': 1, 'test_accuracy': 0.16279069767441862}, {'client_id': 2, 'test_accuracy': 0.10810810810810811}, {'client_id': 3, 'test_accuracy': 0.24}, {'client_id': 4, 'test_accuracy': 0.21739130434782608}, {'client_id': 5, 'test_accuracy': 0.10256410256410256}, {'client_id': 6, 'test_accuracy': 0.16666666666666666}, {'client_id': 7, 'test_accuracy': 0.45}, {'client_id': 8, 'test_accuracy': 0.08823529411764706}, {'client_id': 9, 'test_accuracy': 0.2}, {'client_id': 10, 'test_accuracy': 0.1111111111111111}, {'client_id': 11, 'test_accuracy': 0.2}, {'client_id': 12, 'test_accuracy': 0.21428571428571427}, {'client_id': 13, 'test_accuracy': 0.1}, {'client_id': 14, 'test_accuracy': 0.10526315789473684}, {'client_id': 15, 'test_accuracy': 0.28}, {'client_id': 16, 'test_accuracy': 0.13333333333333333}, {'client_id': 17, 'test_accuracy': 0.21428571428571427}, {'client_id': 18, 'test_accuracy': 0.06666666666666667}, {'client_id': 19, 'test_accuracy': 0.2777777777777778}, {'client_id': 20, 'test_accuracy': 0.14285714285714285}, {'client_id': 21, 'test_accuracy': 0.1951219512195122}, {'client_id': 22, 'test_accuracy': 0.2692307692307692}, {'client_id': 23, 'test_accuracy': 0.0967741935483871}, {'client_id': 24, 'test_accuracy': 0.2222222222222222}, {'client_id': 25, 'test_accuracy': 0.14285714285714285}, {'client_id': 26, 'test_accuracy': 0.36363636363636365}, {'client_id': 27, 'test_accuracy': 0.21739130434782608}, {'client_id': 28, 'test_accuracy': 0.3157894736842105}, {'client_id': 29, 'test_accuracy': 0.3076923076923077}, {'client_id': 30, 'test_accuracy': 0.35}, {'client_id': 31, 'test_accuracy': 0.3684210526315789}, {'client_id': 32, 'test_accuracy': 0.1935483870967742}, {'client_id': 33, 'test_accuracy': 0.0}, {'client_id': 34, 'test_accuracy': 0.1}, {'client_id': 35, 'test_accuracy': 0.4166666666666667}, {'client_id': 36, 'test_accuracy': 0.17647058823529413}, {'client_id': 37, 'test_accuracy': 0.08}, {'client_id': 38, 'test_accuracy': 0.15}, {'client_id': 39, 'test_accuracy': 0.3076923076923077}, {'client_id': 40, 'test_accuracy': 0.4}, {'client_id': 41, 'test_accuracy': 0.17391304347826086}, {'client_id': 42, 'test_accuracy': 0.20833333333333334}, {'client_id': 43, 'test_accuracy': 0.16129032258064516}, {'client_id': 44, 'test_accuracy': 0.08695652173913043}, {'client_id': 45, 'test_accuracy': 0.15384615384615385}, {'client_id': 46, 'test_accuracy': 0.30434782608695654}, {'client_id': 47, 'test_accuracy': 0.23529411764705882}, {'client_id': 48, 'test_accuracy': 0.0}, {'client_id': 49, 'test_accuracy': 0.2972972972972973}, {'client_id': 50, 'test_accuracy': 0.2608695652173913}, {'client_id': 51, 'test_accuracy': 0.1875}, {'client_id': 52, 'test_accuracy': 0.34615384615384615}, {'client_id': 53, 'test_accuracy': 0.19047619047619047}, {'client_id': 54, 'test_accuracy': 0.16666666666666666}, {'client_id': 55, 'test_accuracy': 0.11538461538461539}, {'client_id': 56, 'test_accuracy': 0.05263157894736842}, {'client_id': 57, 'test_accuracy': 0.2222222222222222}, {'client_id': 58, 'test_accuracy': 0.125}, {'client_id': 59, 'test_accuracy': 0.1111111111111111}, {'client_id': 60, 'test_accuracy': 0.0967741935483871}, {'client_id': 61, 'test_accuracy': 0.043478260869565216}, {'client_id': 62, 'test_accuracy': 0.21621621621621623}, {'client_id': 63, 'test_accuracy': 0.3684210526315789}, {'client_id': 64, 'test_accuracy': 0.08333333333333333}, {'client_id': 65, 'test_accuracy': 0.09090909090909091}, {'client_id': 66, 'test_accuracy': 0.1111111111111111}, {'client_id': 67, 'test_accuracy': 0.17857142857142858}, {'client_id': 68, 'test_accuracy': 0.08695652173913043}, {'client_id': 69, 'test_accuracy': 0.2727272727272727}, {'client_id': 70, 'test_accuracy': 0.4166666666666667}, {'client_id': 71, 'test_accuracy': 0.2631578947368421}, {'client_id': 72, 'test_accuracy': 0.2127659574468085}, {'client_id': 73, 'test_accuracy': 0.2}, {'client_id': 74, 'test_accuracy': 0.3888888888888889}, {'client_id': 75, 'test_accuracy': 0.15151515151515152}, {'client_id': 76, 'test_accuracy': 0.045454545454545456}, {'client_id': 77, 'test_accuracy': 0.125}, {'client_id': 78, 'test_accuracy': 0.19047619047619047}, {'client_id': 79, 'test_accuracy': 0.20833333333333334}, {'client_id': 80, 'test_accuracy': 0.0}, {'client_id': 81, 'test_accuracy': 0.21428571428571427}, {'client_id': 82, 'test_accuracy': 0.06976744186046512}, {'client_id': 83, 'test_accuracy': 0.22580645161290322}, {'client_id': 84, 'test_accuracy': 0.28125}, {'client_id': 85, 'test_accuracy': 0.3333333333333333}, {'client_id': 86, 'test_accuracy': 0.0}, {'client_id': 87, 'test_accuracy': 0.15789473684210525}, {'client_id': 88, 'test_accuracy': 0.14634146341463414}, {'client_id': 89, 'test_accuracy': 0.0}, {'client_id': 90, 'test_accuracy': 0.0}, {'client_id': 91, 'test_accuracy': 0.18181818181818182}, {'client_id': 92, 'test_accuracy': 0.0}, {'client_id': 93, 'test_accuracy': 0.2916666666666667}, {'client_id': 94, 'test_accuracy': 0.2708333333333333}, {'client_id': 95, 'test_accuracy': 0.375}, {'client_id': 96, 'test_accuracy': 0.2857142857142857}, {'client_id': 97, 'test_accuracy': 0.3235294117647059}, {'client_id': 98, 'test_accuracy': 0.2}, {'client_id': 99, 'test_accuracy': 0.18518518518518517}]",0.45,0.1919732925064763,0.0,0.10693395416101963,dynamic_mode_fixed_privacy,"{'accountant_scope': 'recorded_dp_events_only', 'global_release_count': None, 'global_release_epsilon': None, 'uniform_selected_update_dp': False, 'end_to_end_dp_status': 'not_established', 'end_to_end_epsilon': None, 'he_real_execution_rounds': 1, 'he_profiled_execution_rounds': 0, 'randomness_scope': 'deterministic_experiment_seed', 'key_isolation_scope': 'single_process_simulation', 'diagnostic_scope': 'private_experiment_logs_not_public_dp_outputs'}",1.0,legacy_per_link_mechanisms,local_packet_or_secure_aggregate,per_link,cross_domain_model_update,2,True,1,1.0,0.94,0,1,0.0,completed,1,0.0,"{'end_to_end_wall_time_sec': 'policy initialization through final summary preparation', 'cumulative_wall_time_sec': 'policy initialization through each completed round', 'total_round_wall_time_sec': 'sum of measured training rounds', 'total_logical_time': 'modeled cloud-edge-end execution path', 'accounted_system_time_sec': 'modeled execution path plus measured mode selection'}",40,178.36190730147064,20.419348500669003,53.711881600000034,7150.305397439994,15.462814374399997,0.260088000446558,0.0026227999478578568,90.16336320499768,178.37844290025532,144.61843959987164,13.061408400535583,0.016535598784685135,407.0689149513539,True,False,,False,dp:7(0.070);dp_he3:2(0.020);none:91(0.910),179.73528990149498
241.54336127704318,distributed_noise_before_ckks_aggregation,0,1.0,True,0.3305,0.3305,0.3305,CIFAR-10,,True,rdp_auto,1e-05,False,8.0,0,1.0,8.0,4,1.382240062317938,79.03905840031803,False,paper_flow_v31_mode_specific_privacy,1.0,1.0,0.3305,0.324,0,0,0.0,,,,,1.7880864758044481,1,True,seal,3581350500,seal_save_size_upper_bound,27300,"[50, 40]",True,1.0763624049723148,111816420,10,83.18180169537663,real,0,0.0490409005433321,447265680,4.51719281996887e-08,8.007210613611132,8192,32,0,86,4,False,40,0,SEAL CKKS encrypted-vector validation passed (max error 1.867e-09).,30.501199301332235,86.0462505761534,8.000000000001,0,False,0.0,0.0,0.58,8.000000000001,85.0,10.0,85.0,78.00091129913926,14.245645299553871,6.837688500061631,1.0,85.0,0.0,1.0,0.0,1.0,0.0,LIIEIIIC:85(0.850);SKIP:15(0.150),resnet18pretrainedhead,dp_he3:85(0.500);none:85(0.500),out\paper_v31_final\fig1_main\dirichlet_0p5\2026-09-19_22-16-05_lenet5_dynamic_newtex202608\fixed_mode_dynamic_privacy,"[{'client_id': 0, 'test_accuracy': 0.375}, {'client_id': 1, 'test_accuracy': 0.5116279069767442}, {'client_id': 2, 'test_accuracy': 0.2972972972972973}, {'client_id': 3, 'test_accuracy': 0.24}, {'client_id': 4, 'test_accuracy': 0.21739130434782608}, {'client_id': 5, 'test_accuracy': 0.3076923076923077}, {'client_id': 6, 'test_accuracy': 0.3333333333333333}, {'client_id': 7, 'test_accuracy': 0.5}, {'client_id': 8, 'test_accuracy': 0.2647058823529412}, {'client_id': 9, 'test_accuracy': 0.36666666666666664}, {'client_id': 10, 'test_accuracy': 0.5555555555555556}, {'client_id': 11, 'test_accuracy': 0.4}, {'client_id': 12, 'test_accuracy': 0.2857142857142857}, {'client_id': 13, 'test_accuracy': 0.4}, {'client_id': 14, 'test_accuracy': 0.3684210526315789}, {'client_id': 15, 'test_accuracy': 0.36}, {'client_id': 16, 'test_accuracy': 0.36666666666666664}, {'client_id': 17, 'test_accuracy': 0.14285714285714285}, {'client_id': 18, 'test_accuracy': 0.3333333333333333}, {'client_id': 19, 'test_accuracy': 0.2777777777777778}, {'client_id': 20, 'test_accuracy': 0.14285714285714285}, {'client_id': 21, 'test_accuracy': 0.3170731707317073}, {'client_id': 22, 'test_accuracy': 0.46153846153846156}, {'client_id': 23, 'test_accuracy': 0.3225806451612903}, {'client_id': 24, 'test_accuracy': 0.16666666666666666}, {'client_id': 25, 'test_accuracy': 0.09523809523809523}, {'client_id': 26, 'test_accuracy': 0.3939393939393939}, {'client_id': 27, 'test_accuracy': 0.5217391304347826}, {'client_id': 28, 'test_accuracy': 0.4473684210526316}, {'client_id': 29, 'test_accuracy': 0.38461538461538464}, {'client_id': 30, 'test_accuracy': 0.6}, {'client_id': 31, 'test_accuracy': 0.3684210526315789}, {'client_id': 32, 'test_accuracy': 0.3225806451612903}, {'client_id': 33, 'test_accuracy': 0.3}, {'client_id': 34, 'test_accuracy': 0.3333333333333333}, {'client_id': 35, 'test_accuracy': 0.5}, {'client_id': 36, 'test_accuracy': 0.6176470588235294}, {'client_id': 37, 'test_accuracy': 0.32}, {'client_id': 38, 'test_accuracy': 0.5}, {'client_id': 39, 'test_accuracy': 0.3076923076923077}, {'client_id': 40, 'test_accuracy': 0.4666666666666667}, {'client_id': 41, 'test_accuracy': 0.5217391304347826}, {'client_id': 42, 'test_accuracy': 0.3541666666666667}, {'client_id': 43, 'test_accuracy': 0.3548387096774194}, {'client_id': 44, 'test_accuracy': 0.34782608695652173}, {'client_id': 45, 'test_accuracy': 0.5384615384615384}, {'client_id': 46, 'test_accuracy': 0.43478260869565216}, {'client_id': 47, 'test_accuracy': 0.3235294117647059}, {'client_id': 48, 'test_accuracy': 0.35294117647058826}, {'client_id': 49, 'test_accuracy': 0.4864864864864865}, {'client_id': 50, 'test_accuracy': 0.34782608695652173}, {'client_id': 51, 'test_accuracy': 0.28125}, {'client_id': 52, 'test_accuracy': 0.5}, {'client_id': 53, 'test_accuracy': 0.47619047619047616}, {'client_id': 54, 'test_accuracy': 0.3333333333333333}, {'client_id': 55, 'test_accuracy': 0.3076923076923077}, {'client_id': 56, 'test_accuracy': 0.2631578947368421}, {'client_id': 57, 'test_accuracy': 0.3333333333333333}, {'client_id': 58, 'test_accuracy': 0.1875}, {'client_id': 59, 'test_accuracy': 0.2222222222222222}, {'client_id': 60, 'test_accuracy': 0.2903225806451613}, {'client_id': 61, 'test_accuracy': 0.17391304347826086}, {'client_id': 62, 'test_accuracy': 0.32432432432432434}, {'client_id': 63, 'test_accuracy': 0.3684210526315789}, {'client_id': 64, 'test_accuracy': 0.16666666666666666}, {'client_id': 65, 'test_accuracy': 0.18181818181818182}, {'client_id': 66, 'test_accuracy': 0.3333333333333333}, {'client_id': 67, 'test_accuracy': 0.42857142857142855}, {'client_id': 68, 'test_accuracy': 0.2608695652173913}, {'client_id': 69, 'test_accuracy': 0.36363636363636365}, {'client_id': 70, 'test_accuracy': 0.5}, {'client_id': 71, 'test_accuracy': 0.15789473684210525}, {'client_id': 72, 'test_accuracy': 0.3404255319148936}, {'client_id': 73, 'test_accuracy': 0.2}, {'client_id': 74, 'test_accuracy': 0.2222222222222222}, {'client_id': 75, 'test_accuracy': 0.2727272727272727}, {'client_id': 76, 'test_accuracy': 0.13636363636363635}, {'client_id': 77, 'test_accuracy': 0.20833333333333334}, {'client_id': 78, 'test_accuracy': 0.5238095238095238}, {'client_id': 79, 'test_accuracy': 0.20833333333333334}, {'client_id': 80, 'test_accuracy': 0.08333333333333333}, {'client_id': 81, 'test_accuracy': 0.21428571428571427}, {'client_id': 82, 'test_accuracy': 0.3023255813953488}, {'client_id': 83, 'test_accuracy': 0.25806451612903225}, {'client_id': 84, 'test_accuracy': 0.34375}, {'client_id': 85, 'test_accuracy': 0.5714285714285714}, {'client_id': 86, 'test_accuracy': 0.0}, {'client_id': 87, 'test_accuracy': 0.3684210526315789}, {'client_id': 88, 'test_accuracy': 0.43902439024390244}, {'client_id': 89, 'test_accuracy': 0.2}, {'client_id': 90, 'test_accuracy': 0.125}, {'client_id': 91, 'test_accuracy': 0.36363636363636365}, {'client_id': 92, 'test_accuracy': 0.16666666666666666}, {'client_id': 93, 'test_accuracy': 0.375}, {'client_id': 94, 'test_accuracy': 0.3125}, {'client_id': 95, 'test_accuracy': 0.5}, {'client_id': 96, 'test_accuracy': 0.5714285714285714}, {'client_id': 97, 'test_accuracy': 0.4117647058823529}, {'client_id': 98, 'test_accuracy': 0.4}, {'client_id': 99, 'test_accuracy': 0.2962962962962963}]",0.6176470588235294,0.33726187454053863,0.0,0.12498711719591908,fixed_mode_dynamic_privacy,"{'accountant_scope': 'recorded_dp_events_only', 'global_release_count': None, 'global_release_epsilon': None, 'uniform_selected_update_dp': True, 'end_to_end_dp_status': 'not_established', 'end_to_end_epsilon': None, 'he_real_execution_rounds': 1, 'he_profiled_execution_rounds': 0, 'randomness_scope': 'deterministic_experiment_seed', 'key_isolation_scope': 'single_process_simulation', 'diagnostic_scope': 'private_experiment_logs_not_public_dp_outputs'}",1.0,legacy_per_link_mechanisms,local_packet_or_secure_aggregate,per_link,cross_domain_model_update,85,True,1,1.0,0.15,0,1,0.15,completed,1,0.15,"{'end_to_end_wall_time_sec': 'policy initialization through final summary preparation', 'cumulative_wall_time_sec': 'policy initialization through each completed round', 'total_round_wall_time_sec': 'sum of measured training rounds', 'total_logical_time': 'modeled cloud-edge-end execution path', 'accounted_system_time_sec': 'modeled execution path plus measured mode selection'}",40,77.98926680162549,56.397159000858665,53.98024100799998,60980.202811199866,114.65274839999998,0.5055900998413563,0.003183901309967041,227.2977159774893,78.00091129913926,14.245645299553871,6.837688500061631,0.011644497513771057,808.2597602557516,True,False,,True,dp_he3/none:85(0.850);none:15(0.150),79.03905840031803
